pair_name,condition,mean_chrf,mean_script_fraction
asm_to_ben,devanagari_source,13.745977348296895,0.9841063698206556
asm_to_ben,direct_native,10.040629419203015,0.7966666666666666
asm_to_ben,english_source,11.93515985934635,0.9797242610274525
asm_to_ben,hindi_source,9.198080713796642,0.5159591836734694
asm_to_ben,roman_source,10.957327691123442,0.9895772238514173
ben_to_guj,devanagari_source,11.48541101974594,0.8724999999999999
ben_to_guj,direct_native,9.136122374364778,0.962962962962963
ben_to_guj,english_source,8.6319114175699,0.9520833333333334
ben_to_guj,hindi_source,9.214025389182776,0.8510143493320138
ben_to_guj,roman_source,8.917633996557267,0.9755555555555556
guj_to_tam,devanagari_source,11.833408674930745,0.9384113124936361
guj_to_tam,direct_native,7.674663239903618,0.6338888888888888
guj_to_tam,english_source,14.089702804731274,1.0
guj_to_tam,hindi_source,12.006516133567892,0.9309822419533852
guj_to_tam,roman_source,11.756172345226357,0.9359375
hin_to_guj,devanagari_source,14.329475193940757,1.0
hin_to_guj,direct_native,13.211942290681046,0.9237127620304266
hin_to_guj,english_source,12.79929384255564,0.8711851156973107
hin_to_guj,hindi_source,13.211942290681046,0.9237127620304266
hin_to_guj,roman_source,11.419405149856605,0.9325842696629213
